SecOrder,PAR,Area,kGE,Arrival_ns,Required_ns,Setup_ns,Slack_ns,Crit_ns,Fmax_GHz,CyclesPerBlock,Th_Gbps,Th_per_kGE_Gbps_per_kGE,ThPerArea,TimingRpt,AreaRpt,Model_BaseCycles,Model_Rounds,Model_XORperBlock,Model_ge_um2_per_GE
1,1,20602.080237,14.307000164583332,0.97,0.97,0.03,0.0,0.7,1.0,273,0.46886446886446886,0.032771682635828345,32.77168263582834,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,2,21204.720255,14.725500177083333,0.97,0.97,0.03,0.0,0.7,1.0,145,0.8827586206896552,0.059947615366128935,59.947615366128936,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,3,23772.960237,16.509000164583334,0.99,0.99,0.01,0.0,0.7,1.0,105,1.2190476190476192,0.07384139602002278,73.84139602002278,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,4,22080.60027,15.3337501875,0.99,0.99,0.01,0.0,0.7,1.0,81,1.5802469135802468,0.10305677960427818,103.05677960427819,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,5,23738.04026,16.484750180555558,0.98,0.98,0.02,0.0,0.7,1.0,73,1.7534246575342465,0.10636646830125962,106.36646830125962,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,6,24240.600275,16.83375019097222,0.97,0.97,0.03,0.0,0.7,1.0,65,1.9692307692307693,0.11698110919377008,116.98110919377008,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,7,25653.240285,17.814750197916666,0.97,0.97,0.03,0.0,0.7,1.0,57,2.245614035087719,0.1260536358994431,126.0536358994431,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,8,24007.320312,16.671750216666666,0.99,0.99,0.01,0.0,0.7,1.0,49,2.6122448979591835,0.156686902335409,156.686902335409,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,9,27108.000311,18.82500021597222,0.98,0.99,0.01,0.01,0.7,1.0101010101010102,49,2.6386312100597817,0.1401663309316201,140.16633093162008,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,10,26082.360322,18.112750223611112,0.98,0.98,0.02,0.0,0.7,1.0,49,2.6122448979591835,0.14422132838523646,144.22132838523646,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,11,27322.920333,18.97425023125,0.99,0.99,0.01,0.0,0.7,1.0,41,3.1219512195121952,0.16453620994048232,164.5362099404823,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,12,27828.72034,19.32550023611111,0.97,0.97,0.03,0.0,0.7,1.0,41,3.1219512195121952,0.16154568737520186,161.54568737520185,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,13,27532.440357,19.119750247916667,0.98,0.98,0.02,0.0,0.7,1.0,41,3.1219512195121952,0.1632841004213625,163.2841004213625,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,14,28009.800369,19.45125025625,0.98,0.98,0.02,0.0,0.7,1.0,41,3.1219512195121952,0.1605013137142206,160.5013137142206,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,15,28470.240389,19.771000270138888,0.99,0.99,0.01,0.0,0.7,1.0,41,3.1219512195121952,0.1579055777075392,157.9055777075392,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,16,27864.360393,19.350250272916664,0.96,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.20045156130185954,200.45156130185953,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,17,30119.760404,20.916500280555557,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.18544153308446568,185.44153308446568,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,18,30644.280417,21.280750289583334,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.18226744010461407,182.26744010461408,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,19,31158.360425,21.63775029513889,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.17926022002663014,179.26022002663015,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,20,31653.720434,21.98175030138889,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.176454914900148,176.454914900148,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,21,32165.640444,22.337250308333335,0.97,0.97,0.03,0.0,0.7,1.0,33,3.878787878787879,0.1736466138511607,173.6466138511607,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,22,31948.560464,22.186500322222223,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.17482648558605007,174.82648558605007,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,23,32363.280474,22.474500329166666,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.1725861675222259,172.58616752222588,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,24,32850.720488,22.813000338888887,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.17002532859195127,170.02532859195128,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,25,33296.760498,23.122750345833335,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.16774768661924455,167.74768661924455,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,26,33784.20051,23.46125035416667,0.99,1.0,0.0,0.0,0.7,1.0,33,3.878787878787879,0.1653274152159164,165.3274152159164,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,27,34370.640541,23.868500375694445,0.99,1.0,0.0,0.0,0.7,1.0,33,3.878787878787879,0.16250655959675167,162.50655959675166,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,28,34696.800542,24.09500037638889,0.98,0.98,0.02,0.0,0.7,1.0,33,3.878787878787879,0.16097895074485125,160.97895074485123,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
1,29,35124.480557,24.392000386805556,0.99,0.99,0.01,0.0,0.7,1.0,33,3.878787878787879,0.15901885115113576,159.01885115113575,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/timing.rpt,build/myascon_ascon_top_1.0.0_0/synthesis-design_compiler/report/area.rpt,3,8,True,1.44
